dt_s,pos_x,pos_y,pos_z,roll,pitch,yaw,tgt_x,tgt_y,tgt_z,tgt_yaw,err_x_world,err_y_world,err_z,pos_error_3d
0.09273,0.8487,1.1416,2.8882,0.12531,-0.06321,-1.42609,-1.0,-1.0,3.0,-1.5,-1.8487,-2.1416,0.1118,2.8314
0.1,0.8159,1.1419,2.8984,0.12008,-0.05979,-1.41882,-1.0,-1.0,3.0,-1.5,-1.8159,-2.1419,0.1016,2.8099
0.097635,0.7808,1.1293,2.9089,0.12661,-0.08674,-1.41921,-1.0,-1.0,3.0,-1.5,-1.7808,-2.1293,0.0911,2.7773
0.099618,0.7386,1.2003,2.866,0.13791,-0.08777,-1.42295,-1.0,-1.0,3.0,-1.5,-1.7386,-2.2003,0.134,2.8075
0.09558,0.7003,1.0971,2.9141,0.13347,-0.08458,-1.41962,-1.0,-1.0,3.0,-1.5,-1.7003,-2.0971,0.0859,2.7012
0.1,0.6481,1.0426,2.9263,0.13035,-0.08054,-1.425,-1.0,-1.0,3.0,-1.5,-1.6481,-2.0426,0.0737,2.6256
0.1,0.598,0.9666,2.9479,0.12962,-0.08437,-1.42444,-1.0,-1.0,3.0,-1.5,-1.598,-1.9666,0.0521,2.5345
0.098182,0.5453,0.8635,2.9764,0.12992,-0.08676,-1.43128,-1.0,-1.0,3.0,-1.5,-1.5453,-1.8635,0.0236,2.421
0.094182,0.4904,0.8549,2.9498,0.14111,-0.07899,-1.44769,-1.0,-1.0,3.0,-1.5,-1.4904,-1.8549,0.0502,2.38
0.1,0.4171,0.7299,2.9671,3.08705,-1.04742,-2.07825,-1.0,-1.0,3.0,-1.5,-1.4171,-1.7299,0.0329,2.2365
0.1,0.3584,0.6596,2.9686,0.12335,-0.10286,-1.44169,-1.0,-1.0,3.0,-1.5,-1.3584,-1.6596,0.0314,2.1449
0.099066,0.2897,0.5695,2.9704,0.08285,-0.08234,-1.40406,-1.0,-1.0,3.0,-1.5,-1.2897,-1.5695,0.0296,2.0316
0.1,0.2151,0.5277,2.9404,0.04918,-0.04996,-1.42804,-1.0,-1.0,3.0,-1.5,-1.2151,-1.5277,0.0596,1.9529
0.093601,0.1495,0.3849,2.971,0.06139,-0.0685,-1.44932,-1.0,-1.0,3.0,-1.5,-1.1495,-1.3849,0.029,1.8001
0.1,0.0751,0.335,2.9429,0.11139,-0.09984,-1.4414,-1.0,-1.0,3.0,-1.5,-1.0751,-1.335,0.0571,1.715
0.096705,0.0011,0.1922,2.9731,0.11112,-0.1031,-1.42777,-1.0,-1.0,3.0,-1.5,-1.0011,-1.1922,0.0269,1.557
0.1,-0.0655,0.0908,2.9713,0.11253,-0.10784,-1.42916,-1.0,-1.0,3.0,-1.5,-0.9345,-1.0908,0.0287,1.4366
0.1,-0.1542,-0.0126,2.9752,0.11283,-0.08955,-1.43416,-1.0,-1.0,3.0,-1.5,-0.8458,-0.9874,0.0248,1.3004
0.099336,-0.2364,-0.1186,2.9752,0.12226,-0.07802,-1.42419,-1.0,-1.0,3.0,-1.5,-0.7636,-0.8814,0.0248,1.1664
0.1,-0.3205,-0.2282,2.9756,0.11743,-0.08479,-1.43633,-1.0,-1.0,3.0,-1.5,-0.6795,-0.7718,0.0244,1.0286
0.09919,-0.4104,-0.3408,2.9795,0.08346,-0.10372,-1.4507,-1.0,-1.0,3.0,-1.5,-0.5896,-0.6592,0.0205,0.8846
0.1,-0.4981,-0.4508,2.9806,0.05105,-0.05522,-1.45007,-1.0,-1.0,3.0,-1.5,-0.5019,-0.5492,0.0194,0.7442
0.1,-0.5811,-0.555,2.9812,-0.04911,0.06705,-1.4692,-1.0,-1.0,3.0,-1.5,-0.4189,-0.445,0.0188,0.6115
0.098163,-0.66,-0.6467,2.9843,-0.15332,0.11095,-1.45389,-1.0,-1.0,3.0,-1.5,-0.34,-0.3533,0.0157,0.4906
0.1,-0.7176,-0.7236,2.9829,-0.0565,0.10273,-1.45104,-1.0,-1.0,3.0,-1.5,-0.2824,-0.2764,0.0171,0.3955
0.098095,-0.7641,-0.7803,2.982,-0.0604,0.11771,-1.45665,-1.0,-1.0,3.0,-1.5,-0.2359,-0.2197,0.018,0.3229
0.1,-0.8034,-0.8269,2.9837,-0.09443,0.10163,-1.47124,-1.0,-1.0,3.0,-1.5,-0.1966,-0.1731,0.0163,0.2624
0.097648,-0.8341,-0.8586,2.9861,-0.06156,0.06726,-1.4643,-1.0,-1.0,3.0,-1.5,-0.1659,-0.1414,0.0139,0.2184
0.1,-0.8564,-0.8798,2.9882,-0.02144,0.0629,-1.46153,-1.0,-1.0,3.0,-1.5,-0.1436,-0.1202,0.0118,0.1876
0.1,-0.8699,-0.8909,2.9888,-0.02232,0.04962,-1.45451,0.0,0.0,1.0,-3.1,0.8699,0.8909,-1.9888,2.3464
0.097317,-0.8855,-0.9021,2.9883,-0.0046,0.00662,-1.45868,0.0,0.0,1.0,-3.1,0.8855,0.9021,-1.9883,2.3561
0.1,-0.8941,-0.9085,2.9832,-0.00686,-0.00335,-1.5117,0.0,0.0,1.0,-3.1,0.8941,0.9085,-1.9832,2.3575
0.1,-0.9008,-0.9121,2.9669,0.00122,0.00893,-1.58063,0.0,0.0,1.0,-3.1,0.9008,0.9121,-1.9669,2.3478
0.090783,-0.9051,-0.9151,2.9503,0.0149,0.00439,-1.62675,0.0,0.0,1.0,-3.1,0.9051,0.9151,-1.9503,2.3367
0.1,-0.9084,-0.9182,2.9253,0.03116,3e-05,-1.6837,0.0,0.0,1.0,-3.1,0.9084,0.9182,-1.9253,2.3184
0.098331,-0.9103,-0.9217,2.8965,0.03541,-0.01103,-1.74713,0.0,0.0,1.0,-3.1,0.9103,0.9217,-1.8965,2.2967
0.1,-0.91,-0.9254,2.8612,0.02147,0.01614,-1.80146,0.0,0.0,1.0,-3.1,0.91,0.9254,-1.8612,2.269
0.093985,-0.9074,-0.9302,2.8279,0.02149,0.03181,-1.86989,0.0,0.0,1.0,-3.1,0.9074,0.9302,-1.8279,2.2428
0.097782,-0.9034,-0.9348,2.7961,0.05662,-0.02176,-1.90292,0.0,0.0,1.0,-3.1,0.9034,0.9348,-1.7961,2.2172
0.1,-0.897,-0.9414,2.7622,0.0505,-0.01573,-1.99005,0.0,0.0,1.0,-3.1,0.897,0.9414,-1.7622,2.1901
0.098078,-0.8906,-0.949,2.7276,-0.02921,-0.03542,-2.03694,0.0,0.0,1.0,-3.1,0.8906,0.949,-1.7276,2.163
0.1,-0.8781,-0.9605,2.6942,0.03926,-0.01815,-2.09788,0.0,0.0,1.0,-3.1,0.8781,0.9605,-1.6942,2.1363
