sample_index,controller_time,wind_enabled,x,y,z,roll,pitch,yaw,target_x,target_y,target_z,target_yaw,error_x_world,error_y_world,error_z,error_forward,error_left,yaw_error,vx_setpoint,vy_setpoint,vz_setpoint,yaw_rate_setpoint
108,1777301451.2703552,0,-1.1541711186856576,-0.7137686271539957,2.8066590702324232,0.0011561849547558343,0.020704033977181284,-1.5740393896571836,0.0,0.0,1.0,-3.1,1.1541711186856576,0.7137686271539957,-1.8066590702324232,-0.7175079165724706,1.151850256749216,-1.5259606103428165,-0.2511277708003647,0.40314758986222554,-0.6,-1.2
109,1777301451.2901406,0,-1.1764381888115198,-0.812806064751493,2.8188602592953096,0.027011913301982174,0.012877358135649754,-1.5500302874209093,0.0,0.0,1.0,-3.1,1.1764381888115198,0.812806064751493,-1.8188602592953096,-0.7882026125510986,1.1930620908228373,-1.5499697125790908,-0.27587091439288447,0.41757173178799306,-0.6,-1.2
110,1777301451.3945713,0,-1.1843586228985812,-0.8576931429562515,2.828350166850718,0.02611918740019633,0.014598009994420852,-1.5837345670718193,0.0,0.0,1.0,-3.1,1.1843586228985812,0.8576931429562515,-1.828350166850718,-0.8729444447924751,1.1731627642464424,-1.5162654329281808,-0.30553055567736626,0.4106069674862548,-0.6,-1.2
111,1777301451.473561,0,-1.1869234446609809,-0.8918798957970855,2.829688729862362,0.00011894482753129467,0.04712671075652097,-1.6519234583099371,0.0,0.0,1.0,-3.1,1.1869234446609809,0.8918798957970855,-1.829688729862362,-0.9851326051171667,1.110743337746382,-1.448076541690063,-0.34479641179100834,0.38876016821123366,-0.6,-1.2
112,1777301451.5807908,0,-1.1841413290230791,-0.9356405971885674,2.8196074991531073,-0.030873187826905554,0.10168598761129698,-1.7526661100220104,0.0,0.0,1.0,-3.1,1.1841413290230791,0.9356405971885674,-1.8196074991531073,-1.1343835501959387,0.9953833308091818,-1.3473338899779896,-0.39703424256857855,0.34838416578321363,-0.6,-1.2
113,1777301451.680824,0,-1.1719560953750947,-0.9668518779412668,2.7984057508750277,-0.03950268151518943,0.12150770475223352,-1.8395383020304386,0.0,0.0,1.0,-3.1,1.1719560953750947,0.9668518779412668,-1.7984057508750277,-1.2433237459980315,0.8731722086752505,-1.2604616979695615,-0.435163311099311,0.30561027303633764,-0.6,-1.2
114,1777301451.778161,0,-1.1496332259106596,-0.9904328715049675,2.770247615491543,-0.05225010120363921,0.11196327212466523,-1.9296792152278843,0.0,0.0,1.0,-3.1,1.1496332259106596,0.9904328715049675,-1.770247615491543,-1.3311161325920013,0.7285215635989357,-1.1703207847721158,-0.46589064640720046,0.2549825472596275,-0.6,-1.1703207847721158
115,1777301451.8818314,0,-1.1178713797317887,-1.0056626179401642,2.736828020934855,-0.0547020668584448,0.0987197228906634,-2.022264720789447,0.0,0.0,1.0,-3.1,1.1178713797317887,1.0056626179401642,-1.7368280209348552,-1.3926157557244965,0.5671111704539133,-1.077735279210553,-0.48741551450357373,0.19848890965886967,-0.6,-1.077735279210553
116,1777301451.9810941,0,-1.0769744789097881,-1.0124927036895415,2.6981349825969185,-0.05468569594911,0.09451719672316486,-2.0965808818015343,0.0,0.0,1.0,-3.1,1.0769744789097881,1.0124927036895415,-1.6981349825969185,-1.4162603660404272,0.4233462871345427,-1.0034191181984657,-0.49569112811414945,0.14817120049708993,-0.6,-1.0034191181984657
117,1777301452.0827682,0,-1.0289288955968148,-1.008622718358407,2.6565389170330813,-0.0868031304909875,0.11162763932568118,-2.181876466092674,0.0,0.0,1.0,-3.1,1.0289288955968148,1.008622718358407,-1.6565389170330813,-1.4164415023076526,0.2640225950997831,-0.9181235339073259,-0.49575452580767837,0.09240790828492408,-0.6,-0.9181235339073259
